1,101,GARCIA,Heladera,55000.00,15
1,102,LOPEZ,Lavarropas,62000.00,30
2,103,MARTINEZ,Televisor,38000.00,4
2,104,FERNANDEZ,Notebook,45000.00,7
1,105,GOMEZ,Microondas,20000.00,8
2,106,RODRIGUEZ,Aire Acondicionado,70000.00,2
1,107,ROMERO,Heladera,58000.00,35
2,108,SOSA,Impresora,15000.00,3
1,109,TORRES,Lavavajillas,40000.00,12
2,110,ALVAREZ,Televisor,25000.00,6
1,111,BENITEZ,Aire Acondicionado,90000.00,22
2,112,CASTRO,Notebook,52000.00,1
1,113,DIAZ,Microondas,18000.00,5
2,114,MORALES,Consola,33000.00,9
