1,10/03/2026,Perez,Rex,5000.00,2
1,10/03/2026,Gomez,Milo,4500.00,1
2,11/03/2026,Diaz,Toby,9000.00,2
2,12/03/2026,Diaz,Nina,7500.00,4
1,12/03/2026,Ruiz,Kiki,6000.00,0
2,13/03/2026,Ruiz,Coco,8000.00,1
1,14/03/2026,Perez,Luna,5500.00,3
2,15/03/2026,Gomez,Fido,10000.00,3
1,16/03/2026,Diaz,Nala,4000.00,2
2,17/03/2026,Perez,Simba,6500.00,2
1,18/03/2026,Ruiz,Manchas,5000.00,1
2,19/03/2026,Diaz,Rocky,9500.00,5
1,20/03/2026,Gomez,Pelusa,4800.00,0
2,21/03/2026,Perez,Bobby,7000.00,2
1,22/03/2026,Ruiz,Michi,5200.00,1
